net,length_um
net485,4.44
_0077_,4.425
_0237_,4.425
_0343_,4.425
_0459_,4.425
_0011_,4.42
_1018_,4.42
_1107_,4.42
_1597_,4.42
_1750_,4.42
_1996_,4.42
_2064_,4.42
u_core.u_regfile.rf\[26\]\[0\],4.42
u_core.u_regfile.rf\[30\]\[15\],4.42
_0260_,4.385
_0306_,4.385
_0452_,4.385
_0458_,4.385
_0561_,4.385
_0119_,4.36
_0645_,4.36
_1227_,4.36
_1514_,4.36
_1527_,4.36
_1662_,4.36
_1971_,4.36
_2021_,4.36
_2033_,4.36
u_core.u_regfile.rf\[26\]\[16\],4.36
_0991_,4.34
_1614_,4.34
_1828_,4.34
_1976_,4.34
_2045_,4.34
net347,4.34
net367,4.34
net448,4.34
_0178_,4.33
_0532_,4.32
_0562_,4.295
_0337_,4.265
_0378_,4.265
_0265_,4.24
u_core.u_regfile.rf\[30\]\[3\],4.22
u_core.u_regfile.rf\[4\]\[9\],4.22
u_core.u_regfile.rf\[7\]\[19\],4.22
_0633_,4.21
_0066_,4.165
_0129_,4.165
_0386_,4.165
_0473_,4.165
_0651_,4.14
_1058_,4.14
_1529_,4.14
net38,4.14
net80,4.14
net103,4.14
net138,4.14
net167,4.14
net178,4.14
net194,4.14
net196,4.14
net261,4.14
net301,4.14
net399,4.14
net536,4.14
_0636_,4.13
_0191_,4.12
_0854_,4.12
_1044_,4.12
_0180_,4.1
_0569_,4.1
_0021_,4.045
_0534_,4.02
_0622_,4.02
_1399_,4.02
u_core.u_regfile.rf\[30\]\[13\],4.02
net42,4.02
net145,4.02
net293,4.02
net314,4.02
net330,4.02
net385,4.02
net405,4.02
net443,4.02
net447,4.02
net554,4.02
_0037_,4
_0044_,4
_0190_,4
_1175_,4
_1213_,4
_1361_,4
_1542_,4
_1843_,4
_1856_,4
u_core.u_regfile.rf\[25\]\[19\],4
u_core.u_regfile.rf\[26\]\[28\],4
u_core.u_regfile.rf\[26\]\[9\],4
u_core.u_regfile.rf\[27\]\[24\],4
u_core.u_regfile.rf\[27\]\[29\],4
u_core.u_regfile.rf\[29\]\[30\],4
u_core.u_regfile.rf\[2\]\[2\],4
u_core.u_regfile.rf\[3\]\[16\],4
u_core.u_regfile.rf\[3\]\[2\],4
net39,4
net131,4
net156,4
net193,4
net204,4
net213,4
net285,4
net306,4
net309,4
net371,4
net376,4
_0362_,3.985
u_core.u_regfile.rf\[25\]\[24\],3.98
u_core.u_regfile.rf\[27\]\[13\],3.98
_0057_,3.965
_0058_,3.965
_0072_,3.965
_0365_,3.965
_0400_,3.965
_0498_,3.965
_0143_,3.925
_0309_,3.925
_0317_,3.925
_0511_,3.925
_0517_,3.925
_0547_,3.925
_0060_,3.92
u_core.u_regfile.rf\[27\]\[7\],3.9
u_core.u_regfile.rf\[3\]\[24\],3.9
_1197_,3.88
_1548_,3.88
_1635_,3.88
_1665_,3.88
_1895_,3.88
_1913_,3.88
_1934_,3.88
_1965_,3.88
_1972_,3.88
net40,3.88
net127,3.88
net199,3.88
net362,3.88
net366,3.88
net560,3.88
_0353_,3.825
_0036_,3.805
_0137_,3.805
_0325_,3.805
_0425_,3.805
_0468_,3.805
_0280_,3.8
_0295_,3.8
_0370_,3.8
_0443_,3.8
_0466_,3.8
_0487_,3.8
_0499_,3.8
_0082_,3.78
_0490_,3.78
net72,3.78
_0980_,3.76
_1435_,3.73
_0329_,3.705
_0395_,3.705
_0407_,3.705
_0435_,3.705
_0565_,3.705
_0660_,3.68
_1537_,3.68
_1894_,3.68
net160,3.68
net201,3.68
net206,3.68
net294,3.68
net302,3.68
net339,3.68
net404,3.68
net419,3.68
_0042_,3.66
_0206_,3.66
_0669_,3.65
_0118_,3.625
_0350_,3.625
_0537_,3.585
_0179_,3.56
_1081_,3.56
_1348_,3.56
_0013_,3.54
_0531_,3.54
_0580_,3.54
_1570_,3.54
_1770_,3.54
_1806_,3.54
_1839_,3.54
_1841_,3.54
_1903_,3.54
_1957_,3.54
_2043_,3.54
u_core.u_regfile.rf\[24\]\[4\],3.54
u_core.u_regfile.rf\[26\]\[1\],3.54
u_core.u_regfile.rf\[26\]\[24\],3.54
u_core.u_regfile.rf\[26\]\[3\],3.54
u_core.u_regfile.rf\[26\]\[8\],3.54
u_core.u_regfile.rf\[27\]\[3\],3.54
u_core.u_regfile.rf\[30\]\[9\],3.54
net154,3.54
net158,3.54
net159,3.54
net161,3.54
net176,3.54
net236,3.54
net313,3.54
net345,3.54
net471,3.54
net490,3.54
net525,3.54
_0177_,3.52
_0902_,3.52
_1048_,3.52
_0449_,3.515
_0211_,3.505
_0275_,3.505
_0345_,3.505
_0414_,3.505
_0050_,3.465
_0140_,3.465
_0276_,3.465
_0277_,3.465
_0282_,3.465
_0283_,3.465
_0292_,3.465
_0301_,3.465
_0307_,3.465
_0327_,3.465
_0341_,3.465
_0372_,3.465
_0384_,3.465
_0387_,3.465
_0389_,3.465
_0391_,3.465
_0418_,3.465
_0446_,3.465
_0470_,3.465
_0475_,3.465
_0488_,3.465
_0494_,3.465
_0496_,3.465
_0539_,3.465
_0545_,3.465
_0563_,3.465
_0078_,3.44
_0959_,3.44
_1084_,3.44
_1659_,3.44
_1950_,3.44
_1991_,3.44
u_core.u_regfile.rf\[30\]\[12\],3.44
_0652_,3.42
_1981_,3.42
_2091_,3.42
net95,3.42
net189,3.42
net279,3.42
net429,3.42
net430,3.42
_0062_,3.405
_0313_,3.405
_0315_,3.405
_0410_,3.405
_0432_,3.405
_0439_,3.405
_0464_,3.405
_0512_,3.405
_0233_,3.345
_0525_,3.345
_0222_,3.34
_0416_,3.34
_0524_,3.34
_0536_,3.34
_0108_,3.32
u_core.u_regfile.rf\[7\]\[26\],3.3
net74,3.27
_0081_,3.265
_0073_,3.245
_0124_,3.245
_0279_,3.245
_0560_,3.245
_0676_,3.22
_0809_,3.22
_0032_,3.2
_0035_,3.2
_1485_,3.2
_0165_,3.175
_0212_,3.175
_0403_,3.175
_0478_,3.175
_0101_,3.145
_0232_,3.145
_1233_,3.14
_0239_,3.125
_0297_,3.125
_0299_,3.125
_0493_,3.125
_0550_,3.125
_0010_,3.1
_0646_,3.1
_1248_,3.1
_1742_,3.1
net61,3.1
net87,3.1
net97,3.1
net98,3.1
net260,3.1
net318,3.1
_0618_,3.08
_0915_,3.08
_1370_,3.08
_1539_,3.08
_1832_,3.08
_1859_,3.08
_1889_,3.08
_2012_,3.08
u_core.u_regfile.rf\[24\]\[10\],3.08
u_core.u_regfile.rf\[25\]\[11\],3.08
u_core.u_regfile.rf\[25\]\[13\],3.08
u_core.u_regfile.rf\[25\]\[25\],3.08
u_core.u_regfile.rf\[25\]\[31\],3.08
u_core.u_regfile.rf\[26\]\[5\],3.08
u_core.u_regfile.rf\[27\]\[14\],3.08
u_core.u_regfile.rf\[2\]\[14\],3.08
u_core.u_regfile.rf\[2\]\[17\],3.08
u_core.u_regfile.rf\[2\]\[29\],3.08
u_core.u_regfile.rf\[30\]\[20\],3.08
u_core.u_regfile.rf\[30\]\[26\],3.08
u_core.u_regfile.rf\[30\]\[28\],3.08
u_core.u_regfile.rf\[3\]\[5\],3.08
net81,3.08
net130,3.08
net143,3.08
net187,3.08
net241,3.08
net259,3.08
net271,3.08
net304,3.08
net470,3.06
_0054_,3.005
_0094_,3.005
_0141_,3.005
_0173_,3.005
_0214_,3.005
_0344_,3.005
_1011_,2.98
_1600_,2.98
_1601_,2.98
_1606_,2.98
_1612_,2.98
_1646_,2.98
_1786_,2.98
_1798_,2.98
_1837_,2.98
_1863_,2.98
_1919_,2.98
_1925_,2.98
_0599_,2.96
_0659_,2.96
_0986_,2.96
_1488_,2.96
_1812_,2.96
_1858_,2.96
_2004_,2.96
_2028_,2.96
_2040_,2.96
net69,2.96
net135,2.96
net197,2.96
net340,2.96
net492,2.96
_0128_,2.945
_0207_,2.945
_0228_,2.945
_0274_,2.945
_0293_,2.945
_0298_,2.945
_0374_,2.945
_0421_,2.945
_0422_,2.945
_0551_,2.945
_0229_,2.885
_0426_,2.885
_0273_,2.86
_1516_,2.86
net509,2.86
u_timer.threshold_reg\[3\],2.85
_0896_,2.84
_1226_,2.84
_1427_,2.84
u_core.u_regfile.rf\[5\]\[25\],2.84
_0053_,2.785
_0225_,2.785
_0236_,2.785
_0271_,2.785
_0278_,2.785
_0284_,2.785
_0285_,2.785
_0286_,2.785
_0290_,2.785
_0316_,2.785
_0319_,2.785
_0340_,2.785
_0373_,2.785
_0382_,2.785
_0383_,2.785
_0423_,2.785
_0437_,2.785
_0438_,2.785
_0450_,2.785
_0454_,2.785
_0480_,2.785
_0485_,2.785
_0492_,2.785
_0500_,2.785
_0541_,2.785
_0543_,2.785
_0548_,2.785
_0559_,2.785
_1212_,2.76
_1257_,2.76
net242,2.76
net506,2.76
_0016_,2.74
_0962_,2.74
_0199_,2.72
_0424_,2.715
_0529_,2.665
_1510_,2.64
u_core.u_regfile.rf\[27\]\[19\],2.64
u_core.u_regfile.rf\[2\]\[25\],2.64
_0043_,2.62
_0528_,2.62
_0574_,2.62
_0978_,2.62
_1055_,2.62
_1429_,2.62
_1822_,2.62
_1852_,2.62
u_core.u_regfile.rf\[24\]\[18\],2.62
u_core.u_regfile.rf\[24\]\[19\],2.62
u_core.u_regfile.rf\[25\]\[0\],2.62
u_core.u_regfile.rf\[25\]\[16\],2.62
u_core.u_regfile.rf\[25\]\[20\],2.62
u_core.u_regfile.rf\[26\]\[13\],2.62
u_core.u_regfile.rf\[26\]\[14\],2.62
u_core.u_regfile.rf\[26\]\[15\],2.62
u_core.u_regfile.rf\[26\]\[23\],2.62
u_core.u_regfile.rf\[26\]\[4\],2.62
u_core.u_regfile.rf\[27\]\[28\],2.62
u_core.u_regfile.rf\[27\]\[31\],2.62
u_core.u_regfile.rf\[27\]\[5\],2.62
u_core.u_regfile.rf\[2\]\[19\],2.62
u_core.u_regfile.rf\[2\]\[6\],2.62
u_core.u_regfile.rf\[30\]\[14\],2.62
u_core.u_regfile.rf\[30\]\[18\],2.62
u_core.u_regfile.rf\[30\]\[19\],2.62
u_core.u_regfile.rf\[30\]\[24\],2.62
u_core.u_regfile.rf\[30\]\[25\],2.62
u_core.u_regfile.rf\[30\]\[31\],2.62
u_core.u_regfile.rf\[3\]\[14\],2.62
u_core.u_regfile.rf\[3\]\[15\],2.62
u_core.u_regfile.rf\[3\]\[17\],2.62
u_core.u_regfile.rf\[3\]\[19\],2.62
u_core.u_regfile.rf\[3\]\[26\],2.62
u_core.u_regfile.rf\[3\]\[30\],2.62
u_core.u_regfile.rf\[3\]\[9\],2.62
net182,2.62
net237,2.62
net270,2.62
net292,2.62
_0441_,2.545
_0482_,2.545
_0510_,2.545
_0549_,2.545
_0136_,2.52
_1610_,2.52
_1661_,2.52
_1846_,2.52
_1847_,2.52
_1854_,2.52
_2096_,2.52
_2103_,2.52
_0948_,2.5
_1078_,2.5
_1154_,2.5
_1188_,2.5
_2032_,2.5
net45,2.5
net71,2.5
net122,2.5
net162,2.5
net205,2.5
net433,2.5
net440,2.5
net446,2.5
_0238_,2.425
_0912_,2.38
_0097_,2.375
_0381_,2.375
_0476_,2.375
_0134_,2.325
_0209_,2.325
_0269_,2.325
_0451_,2.325
_0462_,2.325
_0544_,2.325
_0204_,2.3
u_timer.threshold_reg\[11\],2.3
_0024_,2.28
_0038_,2.28
_0061_,2.205
_1060_,2.18
_1287_,2.18
u_core.u_regfile.rf\[24\]\[8\],2.18
u_core.u_regfile.rf\[25\]\[27\],2.18
u_core.u_regfile.rf\[27\]\[21\],2.18
u_core.u_regfile.rf\[3\]\[11\],2.18
_0015_,2.16
_1020_,2.16
_1531_,2.16
_1604_,2.16
_1637_,2.16
_1826_,2.16
_1849_,2.16
u_audio.sample_reg\[3\],2.16
u_audio.sample_reg\[4\],2.16
u_audio.sample_reg\[6\],2.16
u_core.u_regfile.rf\[24\]\[12\],2.16
u_core.u_regfile.rf\[27\]\[18\],2.16
u_core.u_regfile.rf\[27\]\[26\],2.16
u_core.u_regfile.rf\[2\]\[3\],2.16
u_core.u_regfile.rf\[30\]\[29\],2.16
u_core.u_regfile.rf\[30\]\[7\],2.16
u_core.u_regfile.rf\[3\]\[18\],2.16
net73,2.16
net163,2.16
net224,2.16
net276,2.16
net519,2.16
_0169_,2.125
_0429_,2.125
_0444_,2.125
_0810_,2.06
_1032_,2.06
_1176_,2.06
_1234_,2.06
_1500_,2.06
_1504_,2.06
_1507_,2.06
_1561_,2.06
_1766_,2.06
_1831_,2.06
_1929_,2.06
u_core.u_regfile.rf\[26\]\[11\],2.06
u_core.u_regfile.rf\[27\]\[9\],2.06
_0654_,2.04
_1054_,2.04
_1383_,2.04
_1460_,2.04
_1582_,2.04
_1817_,2.04
net451,2.04
_1462_,1.94
u_timer.threshold_reg\[10\],1.93
u_timer.threshold_reg\[6\],1.93
_0071_,1.865
_0218_,1.865
_0453_,1.865
_0535_,1.865
_0553_,1.865
_0642_,1.865
_0183_,1.84
net41,1.84
net65,1.84
net209,1.84
net250,1.84
net295,1.84
net296,1.84
net303,1.84
net328,1.84
_0007_,1.82
_0009_,1.82
_0186_,1.82
_0188_,1.82
_0892_,1.72
_1441_,1.72
u_core.u_regfile.rf\[24\]\[20\],1.72
u_core.u_regfile.rf\[25\]\[28\],1.72
u_core.u_regfile.rf\[26\]\[29\],1.72
u_core.u_regfile.rf\[26\]\[31\],1.72
u_core.u_regfile.rf\[30\]\[16\],1.72
u_core.u_regfile.rf\[3\]\[1\],1.72
u_core.u_regfile.rf\[3\]\[21\],1.72
net177,1.72
net315,1.72
_0018_,1.7
_0187_,1.7
_0197_,1.7
_0848_,1.7
_0937_,1.7
_1046_,1.7
_1181_,1.7
_1266_,1.7
u_core.u_regfile.rf\[24\]\[22\],1.7
u_core.u_regfile.rf\[24\]\[30\],1.7
u_core.u_regfile.rf\[24\]\[31\],1.7
u_core.u_regfile.rf\[24\]\[6\],1.7
u_core.u_regfile.rf\[25\]\[10\],1.7
u_core.u_regfile.rf\[25\]\[21\],1.7
u_core.u_regfile.rf\[25\]\[30\],1.7
u_core.u_regfile.rf\[26\]\[21\],1.7
u_core.u_regfile.rf\[27\]\[10\],1.7
u_core.u_regfile.rf\[27\]\[30\],1.7
u_core.u_regfile.rf\[27\]\[6\],1.7
u_core.u_regfile.rf\[27\]\[8\],1.7
u_core.u_regfile.rf\[2\]\[11\],1.7
u_core.u_regfile.rf\[2\]\[15\],1.7
u_core.u_regfile.rf\[2\]\[22\],1.7
u_core.u_regfile.rf\[2\]\[23\],1.7
u_core.u_regfile.rf\[2\]\[26\],1.7
u_core.u_regfile.rf\[30\]\[17\],1.7
u_core.u_regfile.rf\[30\]\[5\],1.7
u_core.u_regfile.rf\[30\]\[6\],1.7
u_core.u_regfile.rf\[3\]\[13\],1.7
u_core.u_regfile.rf\[3\]\[4\],1.7
u_core.u_regfile.rf\[3\]\[6\],1.7
u_timer.threshold_reg\[22\],1.7
u_timer.threshold_reg\[4\],1.7
net171,1.7
net228,1.7
net280,1.7
net316,1.7
net380,1.7
_0338_,1.685
_1513_,1.68
_0805_,1.6
_1090_,1.6
_1851_,1.6
_1958_,1.6
_1985_,1.6
_2007_,1.6
_2027_,1.6
_2095_,1.6
u_core.u_regfile.rf\[25\]\[5\],1.6
_1512_,1.48
_0147_,1.46
_0092_,1.405
_0513_,1.405
_0558_,1.405
_1727_,1.38
_1734_,1.38
_1752_,1.38
u_audio.sample_reg\[2\],1.38
net146,1.38
net151,1.38
net157,1.38
net170,1.38
net180,1.38
net184,1.38
net190,1.38
net195,1.38
net207,1.38
net210,1.38
net212,1.38
net217,1.38
net220,1.38
net230,1.38
net233,1.38
net235,1.38
net238,1.38
net245,1.38
net252,1.38
net256,1.38
net262,1.38
net263,1.38
net267,1.38
net268,1.38
net275,1.38
net284,1.38
net297,1.38
net308,1.38
net335,1.38
net341,1.38
net343,1.38
net348,1.38
net349,1.38
net351,1.38
net407,1.38
net432,1.38
net438,1.38
net454,1.38
net479,1.38
net516,1.38
_0863_,1.36
_0022_,1.26
u_core.u_regfile.rf\[24\]\[0\],1.26
u_core.u_regfile.rf\[24\]\[14\],1.26
u_core.u_regfile.rf\[24\]\[15\],1.26
u_core.u_regfile.rf\[24\]\[17\],1.26
u_core.u_regfile.rf\[24\]\[24\],1.26
u_core.u_regfile.rf\[24\]\[25\],1.26
u_core.u_regfile.rf\[24\]\[26\],1.26
u_core.u_regfile.rf\[24\]\[29\],1.26
u_core.u_regfile.rf\[24\]\[5\],1.26
u_core.u_regfile.rf\[24\]\[7\],1.26
u_core.u_regfile.rf\[25\]\[18\],1.26
u_core.u_regfile.rf\[25\]\[1\],1.26
u_core.u_regfile.rf\[25\]\[29\],1.26
u_core.u_regfile.rf\[26\]\[19\],1.26
u_core.u_regfile.rf\[26\]\[22\],1.26
u_core.u_regfile.rf\[26\]\[27\],1.26
u_core.u_regfile.rf\[26\]\[30\],1.26
u_core.u_regfile.rf\[26\]\[7\],1.26
u_core.u_regfile.rf\[27\]\[12\],1.26
u_core.u_regfile.rf\[27\]\[16\],1.26
u_core.u_regfile.rf\[27\]\[20\],1.26
u_core.u_regfile.rf\[27\]\[2\],1.26
u_core.u_regfile.rf\[2\]\[0\],1.26
u_core.u_regfile.rf\[2\]\[16\],1.26
u_core.u_regfile.rf\[2\]\[1\],1.26
u_core.u_regfile.rf\[2\]\[31\],1.26
u_core.u_regfile.rf\[2\]\[4\],1.26
u_core.u_regfile.rf\[30\]\[0\],1.26
u_core.u_regfile.rf\[30\]\[11\],1.26
u_core.u_regfile.rf\[3\]\[22\],1.26
u_core.u_regfile.rf\[3\]\[25\],1.26
u_core.u_regfile.rf\[3\]\[28\],1.26
u_core.u_regfile.rf\[3\]\[29\],1.26
u_core.u_regfile.rf\[3\]\[3\],1.26
u_core.u_regfile.rf\[3\]\[8\],1.26
_0650_,1.14
_0819_,1.14
_1161_,1.14
_1311_,1.14
_1617_,1.14
_1618_,1.14
_1620_,1.14
_1621_,1.14
_1636_,1.14
_1640_,1.14
_1645_,1.14
_1764_,1.14
_1775_,1.14
_1785_,1.14
_1789_,1.14
_1799_,1.14
_1807_,1.14
_1813_,1.14
_1900_,1.14
_1908_,1.14
_1909_,1.14
_1910_,1.14
_1911_,1.14
_1914_,1.14
_1922_,1.14
_1923_,1.14
_1927_,1.14
_1959_,1.14
_1964_,1.14
_1973_,1.14
_1980_,1.14
_2000_,1.14
_2002_,1.14
_2005_,1.14
_2006_,1.14
_2008_,1.14
_2016_,1.14
_2017_,1.14
_2026_,1.14
_2034_,1.14
_2037_,1.14
_2039_,1.14
_2056_,1.14
_2059_,1.14
_2076_,1.14
_2081_,1.14
_2090_,1.14
_2093_,1.14
u_core.u_regfile.rf\[26\]\[26\],1.14
u_core.u_regfile.rf\[2\]\[12\],1.14
u_core.u_regfile.rf\[3\]\[0\],1.14
_1402_,0.92
_1745_,0.92
_1753_,0.92
u_timer.threshold_reg\[25\],0.92
u_core.u_regfile.rf\[24\]\[1\],0.8
u_core.u_regfile.rf\[24\]\[21\],0.8
u_core.u_regfile.rf\[24\]\[28\],0.8
u_core.u_regfile.rf\[24\]\[9\],0.8
u_core.u_regfile.rf\[26\]\[12\],0.8
u_core.u_regfile.rf\[26\]\[20\],0.8
u_core.u_regfile.rf\[26\]\[6\],0.8
u_core.u_regfile.rf\[27\]\[15\],0.8
u_core.u_regfile.rf\[27\]\[22\],0.8
u_core.u_regfile.rf\[2\]\[10\],0.8
u_core.u_regfile.rf\[2\]\[20\],0.8
u_core.u_regfile.rf\[2\]\[30\],0.8
u_core.u_regfile.rf\[30\]\[22\],0.8
u_core.u_regfile.rf\[30\]\[30\],0.8
u_core.u_regfile.rf\[3\]\[12\],0.8
u_timer.threshold_reg\[2\],0.69
_0657_,0.46
_1264_,0.46
_1545_,0.46
_1748_,0.46
u_audio.sample_reg\[1\],0.46
u_audio.sample_reg\[7\],0.46
u_timer.threshold_reg\[1\],0.46
net531,0.46
