net,length_um
u_timer.count_reg\[4\],41.52
_1214_,41.22
u_core.u_regfile.rf\[31\]\[19\],41.2
_0910_,41.12
u_core.u_regfile.rf\[6\]\[5\],41.08
u_core.u_regfile.rf\[5\]\[10\],40.99
_0768_,40.94
net13,40.76
_1115_,40.74
_1274_,40.66
u_timer.count_reg\[18\],40.4
_1293_,40.375
_0584_,39.92
_1388_,39.6
_1444_,39.56
_0958_,39.54
_1079_,39.4
_1324_,39.38
_0797_,39.34
_0617_,39.28
u_timer.threshold_reg\[29\],38.965
_1189_,38.92
_1391_,38.84
u_core.u_regfile.rf\[7\]\[7\],38.72
_1393_,38.64
_0888_,38.62
u_timer.count_reg\[0\],38.52
u_core.u_regfile.rf\[6\]\[6\],38.3
_0833_,38.28
_1471_,38.28
u_timer.threshold_reg\[17\],38.24
_1679_,38.235
u_core.u_regfile.rf\[6\]\[24\],38.22
_1563_,38.06
u_timer.count_reg\[20\],37.97
_0739_,37.94
_0628_,37.9
u_timer.count_reg\[19\],37.9
_1443_,37.82
_0920_,37.8
u_timer.threshold_reg\[24\],37.5
u_core.u_regfile.rf\[28\]\[26\],37.46
_1585_,37.4
_1096_,37.24
u_audio.counter\[6\],37.06
_1221_,36.96
_0760_,36.94
u_core.u_regfile.rf\[6\]\[0\],36.88
u_core.u_regfile.rf\[5\]\[8\],36.84
_1147_,36.78
_1200_,36.68
_1297_,36.625
_0996_,36.62
_0792_,36.36
_1577_,36.23
_1291_,36.17
_1454_,36.1
_1446_,36.09
u_timer.count_reg\[6\],36.04
_1498_,35.795
_0927_,35.78
_0692_,35.7
_1564_,35.7
u_timer.count_reg\[5\],35.695
_1401_,35.64
_0964_,35.52
u_core.u_regfile.rf\[5\]\[17\],35.46
_0606_,35.4
_0579_,35.38
net34,35.15
_1142_,35.14
u_timer.count_reg\[23\],35.14
_1215_,35.1
_0917_,34.88
_1162_,34.84
u_audio.counter\[1\],34.76
_0827_,34.71
u_timer.count_reg\[2\],34.25
_0979_,34.24
net18,34.14
_2115_,34.12
_0862_,34.1
u_audio.counter\[4\],34.06
_1566_,34.04
u_core.u_regfile.rf\[5\]\[24\],34
_0989_,33.88
_1317_,33.88
_1464_,33.84
_1236_,33.8
_0627_,33.72
_1131_,33.7
_1003_,33.52
_1313_,33.48
_2109_,33.48
_0634_,33.46
_0850_,33.38
_0847_,32.92
_1448_,32.86
_0790_,32.84
_1312_,32.82
_0908_,32.58
u_core.u_regfile.rf\[5\]\[11\],32.58
_0775_,32.55
_1071_,32.38
_0588_,32.32
_0880_,32.31
_0638_,32.18
_1473_,32.06
_1314_,31.87
_1186_,31.85
_0625_,31.74
u_core.u_regfile.rf\[31\]\[31\],31.6
_1195_,31.43
_0872_,31.32
u_audio.counter\[5\],31.24
_1278_,31.22
_1456_,31.175
u_core.u_regfile.rf\[31\]\[1\],31
_1178_,30.8
u_core.u_regfile.rf\[28\]\[24\],30.8
_1030_,30.78
_1280_,30.7
_1320_,30.5
_0637_,30.29
_1697_,30.28
_1565_,30.24
clknet_leaf_17_clk,30.22
_0006_,30.2
_1169_,30.08
_1299_,29.97
_1689_,29.96
u_core.u_regfile.rf\[7\]\[5\],29.96
_1470_,29.83
_1191_,29.74
_0683_,29.66
_0849_,29.64
u_core.u_regfile.rf\[7\]\[4\],29.64
_1522_,29.36
_0603_,29.355
_0605_,29.28
_1472_,29.28
_1701_,29.28
u_timer.threshold_reg\[18\],29.245
_1432_,29.24
_0823_,29.22
u_core.u_regfile.rf\[28\]\[22\],29.2
_1023_,29.14
_1428_,29.12
_1010_,28.94
_0987_,28.78
_1392_,28.7
_0612_,28.66
_1340_,28.46
_1533_,28.415
_1288_,28.2
_0925_,28.14
_1238_,28.135
_1190_,28.12
u_core.u_regfile.rf\[6\]\[26\],27.78
_1276_,27.77
_0641_,27.76
_1114_,27.68
u_core.u_regfile.rf\[28\]\[30\],27.6
_0829_,27.58
_0589_,27.54
_0953_,27.51
_0806_,27.5
u_core.u_regfile.rf\[28\]\[25\],27.48
_1562_,27.435
u_timer.threshold_reg\[21\],27.36
_0725_,27.34
_2114_,27.12
_0864_,27.1
_0834_,26.9
